,0
0082348,7.3
0116253,6.5
1225822,6.1
2481498,6.7
2057392,7.3
0119094,7.3
0360556,5.0
0977855,6.8
0112913,7.5
0120667,5.7
0432283,7.9
0060397,6.8
0297884,7.3
2802850,8.8
0083929,7.1
0093010,6.9
0106873,5.7
0120669,7.5
0362636,3.2
0426459,6.2
2671706,7.2
0091042,7.8
0137523,8.8
5662022,6.0
6513120,7.0
5711148,6.7
0104265,5.9
0195714,6.7
0309593,6.2
0243907,5.1
0083944,7.7
6053438,7.1
4882376,7.2
0065724,7.4
0240507,6.7
0080745,6.5
0085549,6.2
1907668,7.3
0817177,7.7
2381941,6.6
1405500,6.3
0800039,7.1
0109830,8.8
0210688,5.0
0005353,7.1
1341167,7.3
0113101,6.7
0109831,7.1
0488120,7.2
0264616,7.2
0083967,7.2
2347569,7.4
0458481,6.5
1142977,6.9
8019694,5.4
0109838,6.4
0101917,4.7
4158096,6.3
0186151,7.4
0113118,7.2
0758746,5.5
0083972,5.6
0091080,6.0
0097388,4.5
0101921,7.7
1632708,6.5
0089175,7.1
0116367,7.2
0045793,7.6
0057076,7.3
0870111,7.6
0212277,2.4
0978759,7.1
2334649,7.5
0113131,5.5
0093058,8.2
0076059,6.4
2713180,7.6
0119173,6.0
0177789,7.4
0425055,5.7
2704998,6.9
0944947,9.2
1034032,5.7
0083987,8.0
0118900,6.4
0217505,7.5
1954470,8.2
0119177,7.7
0067128,7.3
1226229,6.3
5052448,7.8
0430308,5.5
5761496,8.2
2473602,6.9
0099653,7.1
0259324,5.3
0288477,5.6
0162346,7.3
0049261,7.6
0335119,6.9
3564472,6.2
0172495,8.5
0139239,7.2
0120684,7.3
0120685,5.5
1800302,6.7
0113189,7.2
0058150,7.7
0452623,7.6
2267998,8.1
0187078,6.5
0031381,8.2
0452625,5.6
0433383,7.4
1920945,7.2
0119217,8.3
0099685,8.7
0280707,7.2
0348836,5.8
1525366,6.3
0022958,7.3
0338075,6.0
4270516,6.7
0119223,6.8
6966692,8.2
1514045,4.4
1133985,5.5
4062536,7.0
0087363,7.3
0099700,6.5
0119229,7.3
0107048,8.0
3896198,7.6
0113243,6.2
2119532,8.1
0475290,6.3
0382561,5.0
0480687,5.9
1502407,6.5
0095271,5.8
0120694,5.8
0082495,6.5
0085636,5.2
0220506,3.9
0448157,6.4
0993842,6.7
0091167,7.8
0147612,7.7
5308322,6.6
0424136,7.0
0119256,7.1
0120696,5.9
0099739,5.8
0657508,7.0
0099740,6.0
0097481,6.1
0366551,7.0
0067185,7.8
4648786,6.7
0295297,7.5
0926084,7.7
0330373,7.7
0417741,7.6
0373889,7.5
0304141,7.9
0241527,7.7
0042546,7.9
2257436,4.0
1001508,6.4
0113277,8.3
0097493,7.1
0110005,7.2
0082509,6.6
0252503,6.5
2582782,7.6
0095294,6.4
0167190,6.9
0411477,7.0
0093177,6.9
0116514,5.1
0337636,4.3
0274546,4.8
0104409,5.5
0122529,7.1
1798709,8.0
7942742,6.0
7784604,7.3
0104412,6.5
1403177,6.9
4846340,7.8
0097503,5.9
0044706,7.9
0091203,7.0
0110027,4.5
0032599,7.8
0975645,6.8
0465494,6.2
0107120,6.9
5057140,5.6
0164052,5.9
0099785,7.7
0104431,6.9
0226771,7.7
8151874,7.2
0097523,6.4
0829193,6.7
0102057,6.8
0093209,7.3
1499658,6.9
2170439,6.3
0340163,6.5
0425112,7.8
1231587,6.4
2510894,6.6
0251736,6.0
0185371,5.6
1341188,5.4
0455538,6.4
0892769,8.1
1646971,7.8
0219822,6.4
0410097,7.3
5503686,6.3
1477855,5.9
1464540,6.1
5710514,6.9
1220628,5.2
0119345,5.8
1155056,7.0
1045772,6.6
0343818,7.1
1490785,5.8
3640682,6.2
1242432,6.2
0130018,4.8
0770772,5.5
6169694,5.8
5580036,7.5
0036027,7.0
0110097,5.5
3236120,6.7
1068649,7.6
0309698,7.3
0387808,6.5
0138510,6.3
7125860,7.1
0210742,7.3
0780536,7.9
0385267,6.4
0247425,7.4
0061811,7.9
1226774,7.4
0113409,7.1
0478134,7.1
1375666,8.8
0116629,7.0
0367882,6.2
0097576,8.2
0087469,7.5
0420609,7.0
1969062,6.9
0361748,8.4
5962210,6.6
1791528,6.6
0093260,6.8
2042568,7.4
0454848,7.6
2096673,8.1
2226417,6.6
0278504,7.2
0816692,8.7
0110148,7.5
0758758,8.0
2180411,5.9
0138524,6.3
0091276,5.5
0119381,6.4
1057500,7.3
0371746,7.9
0093278,4.7
0037820,6.4
1396484,7.3
3235888,6.8
1230414,6.6
0804497,7.1
0038650,8.6
1616195,6.5
0102138,8.0
1278379,6.3
1619029,6.6
0119396,7.5
0099871,7.4
0113451,5.4
1229822,7.3
0418763,7.0
0107254,4.1
0211443,4.5
0073195,8.1
0077766,5.8
0085750,3.7
0093300,3.1
0261392,6.8
0263488,6.2
0343861,6.7
0104549,6.3
1131734,5.6
0116695,7.3
0785015,7.0
0425151,5.8
0099892,5.9
0401729,6.6
0251160,7.1
0455967,5.7
2911666,7.5
0113481,5.6
2584384,7.9
7286456,8.3
0298388,6.5
2446980,6.6
0113492,5.6
0076245,7.0
4326444,7.1
0113497,7.1
0467406,7.4
0163025,6.0
0369610,6.9
4916630,7.6
0272152,7.4
0102178,6.2
0107302,6.7
0035423,6.4
1250777,7.6
0113540,7.0
0266697,8.2
0378194,8.0
1311071,6.4
0095444,6.2
0110265,6.4
6017942,5.8
0360717,7.2
0320661,7.3
2802144,7.7
0089424,7.3
0067309,7.1
0104627,6.1
1013743,6.3
8946378,7.9
0478311,6.9
0079417,7.8
0085811,6.1
4302938,7.7
0119485,7.0
0441773,7.6
0119488,8.2
3783958,8.0
1967545,6.9
4925292,7.4
0139414,5.8
3841424,7.8
0418819,6.2
1583420,6.1
0805564,7.3
0107362,6.5
6018306,6.9
0479942,7.0
1197624,7.4
0056172,8.3
3062976,6.4
0113627,7.5
1327773,7.2
0250494,6.5
0089469,6.3
1038686,5.3
0126388,5.5
1707386,7.5
1228987,7.1
0093409,7.6
0122151,6.6
0498380,7.8
0892318,6.5
0097737,5.8
0119528,6.9
0095519,6.3
0123964,6.8
0118799,8.6
5989218,6.9
0264796,7.4
0454876,7.9
0399281,5.9
4786282,6.3
0164085,6.9
1219289,7.4
0443272,7.3
3741834,8.0
0417907,5.4
0404203,7.5
4919484,6.7
0449059,7.8
0097758,6.1
0185431,5.3
0091419,7.1
3281548,7.8
0337978,7.1
0113677,7.5
0120735,8.1
2692904,7.1
3315342,8.1
0074812,6.8
0018097,6.7
0116905,7.4
1091191,7.5
0318155,5.8
1276104,7.4
0113690,6.0
0399295,7.6
0411008,8.3
0116922,7.6
0160484,4.8
0089504,7.0
0120738,5.2
0335266,7.7
0314331,7.5
0199725,7.2
6304162,7.6
2872732,6.4
4682804,4.9
1106815,6.0
0066026,7.3
1470023,5.6
10095582,7.1
0985694,6.6
1586752,6.7
0082694,7.6
0227005,6.3
0031602,6.2
1371155,7.1
3471098,6.2
0175880,8.0
0097815,7.2
0305793,5.0
0104797,7.7
0328099,5.3
0113749,7.0
1186829,6.4
0104804,4.7
0328107,7.7
0125664,7.4
4034228,7.8
0073349,6.5
0091474,7.2
0466893,6.5
1615147,7.1
0757361,6.0
0390221,7.4
5175450,6.4
7653254,7.9
1441326,6.8
0048356,7.6
1663655,4.0
5028340,6.7
2328900,6.3
0311113,7.5
0416320,7.6
0325805,7.3
3721954,7.6
0110478,7.0
0467197,5.3
0067411,7.6
2582496,7.7
0377092,7.1
0070379,7.2
0119643,7.2
0081150,6.8
0397535,7.3
0100133,6.9
0119654,7.3
0119664,5.6
0017136,8.3
0430357,6.1
0465538,7.2
5613484,7.4
0064665,7.8
0077928,7.5
1605783,7.6
8772262,7.1
6924650,6.7
0120751,5.7
0113820,5.3
0790770,6.4
1013753,7.5
0405159,8.1
0119675,6.0
0425253,5.8
0181689,7.6
0790686,6.1
4540710,7.5
0084335,7.7
0117060,7.2
0120755,6.1
0183523,5.7
2349144,6.4
2872462,6.7
0049513,7.3
4209788,7.4
1210166,7.6
0166276,4.8
0340855,7.3
0285742,7.0
0198781,8.1
1453405,7.2
1067774,5.8
0071853,8.2
1182345,7.8
4975722,7.4
1748122,7.8
0093565,7.2
0385887,6.8
0203009,7.6
0040613,7.2
0780571,7.2
0100201,6.5
0113862,7.3
0356910,6.5
0485947,7.7
2091935,6.3
0119280,7.2
0117104,6.3
1935179,7.4
2396589,7.4
1619856,8.2
1433810,7.0
0140397,6.8
0408306,7.5
0166943,6.7
0359715,5.5
0119738,6.4
3760922,6.0
0104952,7.6
2291540,6.2
0177023,7.0
0489235,6.1
0102494,6.9
1655420,6.9
0132347,6.1
0024368,6.8
0327056,7.9
0110622,6.5
0068990,6.0
0073440,7.6
0097958,7.5
0085995,7.3
0368891,6.9
0093605,6.9
1804272,8.2
