imdb_id,character_name_search,gender
451279,Diana Prince,Female
76059,Dick Harper,Male
475784,Dolores Abernathy ,Female
1375666,Dom Cobb,Male
2873282,Dominika Egorova,Female
2713180,"Don ""Wardaddy"" Collier ",Male
37884,Don Birnam,Male
790770,Don Cheadle ,Male
45152,Don Lockwood,Male
37549,Donald Fettes,Male
246578,Donnie Darko,Male
454841,Doug Bukowski ,Male
453467,Doug Carlin,Male
119381,Doug Holt ,Male
840361,Doug MacRay,Male
139809,Douglas Hall ,Male
100802,Douglas Quaid,Male
1220198,Dr. Abigail Tyler ,Female
163025,Dr. Alan Grant,Male
49470,Dr. Ben McKenna,Male
122933,Dr. Ben Sobel ,Male
3322364,Dr. Bennet Omalu ,Male
307479,Dr. Chris Kelvin ,Male
29947,Dr. David Huxley,Male
72431,Dr. Frederick Frankenstein,Male
22835,Dr. Henry Jekyll,Male
67217,Dr. Herbert Bock,Male
119567,Dr. Ian Malcolm ,Male
104265,Dr. Isaac Barr ,Male
224626,Dr. Maggie Belham ,Female
99077,Dr. Malcolm Sayer ,Male
1401152,Dr. Martin Harris,Male
348836,Dr. Miranda Grey,Female
140397,Dr. Mumford ,Unknown
120184,Dr. Norman Goodman ,Male
85404,Dr. Oakes,Unknown
116514,Dr. Paul Merchant ,Male
106977,Dr. Richard Kimble,Male
58700,Dr. Robert Morgan,Male
88993,Dr. Sarah Bowman ,Female
164052,Dr. Sebastian Caine ,Male
2209764,Dr. Will Caster,Male
2510894,Dracula,Male
368709,Drew Baylor,Male
101327,Drew Carson ,Male
111002,Dude Delaney ,Male
58414,Duff Anderson ,Male
1727388,Duncan,Male
387877,"Dwight ""Bucky"" Bleichert",Male
2359024,Dwight Evans ,Male
458481,Dwight McCarthy,Male
1632708,Jamie Rellis and Dylan Harper,Jamie Rellis: Female  
1670345,Dylan Rhodes ,Male
780571,Earl Brooks,Male
1398426,Eazy-E,Male
389722,Eben Oleson ,Male
44008,Ebenezer Scrooge,Male
243133,Ed Crane,Male
119488,Ed Exley,Male
68473,Ed Gentry ,Male
84335,Ed Horman,Male
131369,Ed Pekurny ,Male
221069,Ed Saxon ,Male
1457767,Ed Warren,Male
944947,"Eddard ""Ned"" Stark",Male
83833,Eddie,Unknown
118749,Eddie Adams / Dirk Diggler,Male
88936,Eddie Cusack,Male
98524,Eddie Dodd ,Male
179626,Eddie Flemming ,Male
115857,Eddie Kasalivich ,Male
475290,Eddie Mannix,Male
1219289,Eddie Morra,Male
96438,Eddie Valiant,Male
120735,Eddy ,Male
2554274,Edith Cushing,Female
319061,Edward Bloom,Male
4530422,Edward Boyce ,Male
369226,Edward Carnby,Male
825232,Edward Cole,Male
109707,Edward D. Wood Jr.,Male
116654,Edward Douglas ,Male
80360,Edward Jessup ,Male
100405,Edward Lewis ,Male
16039,Edward Malone ,Male
433383,Edward R. Murrow ,Male
1521197,Edward de Vere ,Male
481499,Eep,Female
787474,Eggs,Male
104815,El Mariachi,Male
3908142,Elaine,Female
171363,Eleanor Lance,Female
1037705,Eli,Male
5294518,Eli Miller ,Male
4971344,Eli Sisters,Male
6017942,"Elijah ""Eli"" Solinski",Male
114388,Elinor Dashwood,Female
5726616,Elio Perlman,Male
5580390,Elisa Esposito,Female
5881892,Elizabeth ,Female
261336,Elizabeth Anderson ,Female
414387,Elizabeth Bennet,Female
1284575,Elizabeth Halsey,Female
414055,Elizabeth I,Female
371514,Elizabeth Richardson ,Female
1446714,Elizabeth Shaw ,Female
4540710,Elizabeth Sloane ,Female
4270516,Elle Reid,Female
250494,Elle Woods,Female
93300,Ellen Brody ,Female
118583,Ellen Ripley,Female
78748,Ellen Ripley ,Female
90605,Ellen Ripley,Female
221928,Ellen Shaw ,Female
949731,Elliot Moore,Male
83866,Elliott,Male
1935179,Ellis,Male
42546,Elwood P. Dowd ,Male
1490017,Emmet Brickowski,Male
90022,Emmett ,Male
817230,Empty string,Unknown
162346,Enid,Female
7984734,Ephraim Winslow ,Male
449010,Eragon,Male
2345737,Eric,Male
59037,"Eric ""The Kid"" Stoner ",Male
106303,Eric Desmond ,Male
109506,Eric Draven,Male
401997,Eric O'Neill,Male
476964,Erica Bain,Female
97289,Erik ,Male
195685,Erin Brockovich,Female
47443,Esperanza Quintero ,Female
75265,Esther Hoffman ,Female
49730,Ethan Edwards,Male
120755,Ethan Hunt,Male
117060,Ethan Hunt,Male
831884,Ethan Learner ,Male
272020,Eugene Irwin,Male
2390361,Eva,Female
1242460,Eva Khatchadourian ,Female
289879,Evan Treborn,Male
42192,Eve Harrington,Female
6644200,Evelyn Abbott ,Female
101921,Evelyn Couch,Female
5173200,Evelyn Greenslade ,Female
944835,Evelyn Salt,Female
112857,"Ezikeal ""Easy"" Rawlins",Male
1954470,Faizal Khan,Male
54997,Fast Eddie Felson,Male
5814060,Father Burke ,Male
2234003,Father James ,Male
4669788,Felicity Jones ,Female
104036,Fergus,Male
445939,Fergus Coffey ,Male
91042,Ferris Bueller,Male
119223,Finnegan Bell,Male
80745,Flash Gordon,Male
119528,Fletcher Reede,Male
844471,Flint Lockwood,Male
371246,Flor Moreno ,Female
24368,Florence Dempster,Female
98987,Ford Fairlane ,Male
109830,Forrest Gump,Male
2837574,Forrest Tucker,Male
7083566,Fox Mulder ,Male
120902,Fox Mulder,Male
83967,Frances Farmer ,Female
2347569,Frances Halladay,Female
112579,Francesca Johnson,Female
838221,Francis Whitman,Male
163988,Frank,Male
1700841,Frank,Male
1243957,Frank,Male
83190,Frank,Male
1302006,"Frank ""The Irishman"" Sheeran",Male
116365,Frank Bannister,Male
330793,Frank Castle,Male
96061,Frank Cross ,Male
118900,Frank Divinci ,Male
110622,Frank Drebin,Male
102510,Frank Drebin,Male
103855,Frank Farmer ,Male
247425,Frank Fowler,Male
84855,Frank Galvin,Male
765429,Frank Lucas ,Male
881320,Frank McGuire ,Male
1245526,Frank Moses,Male
226771,Frank Pembleton ,Male
175880,Frank T.J. Mackey ,Male
8019694,Frankie ,Female
145531,Frankie Paige ,Unknown
423510,Franklin D. Roosevelt ,Male
73113,Franz Ritter,Male
40897,Fred C. Dobbs ,Male
109813,Fred Flintstone ,Male
116922,Fred Madison,Male
1560747,Freddie Quell,Male
118887,Freddy Heflin,Male
17136,Freder Fredersen,Male
167260,Frodo Baggins,Male
77869,Frodo Baggins ,Male
106582,"Gabriel ""Gabe"" Walker",Male
5294550,Gail Getty,Female
203119,Gal,Male
3710404,Galen ,Male
82288,Galen Bradwarden ,Male
491175,Gardner Lodge ,Male
810988,Gary,Male
2802144,"Gary ""Eggsy"" Unwin",Male
7074886,Gary Hart ,Male
787470,Gary Houseman ,Male
372588,Gary Johnston,Male
1213663,Gary King,Male
23622,Gaston Monescu,Male
113972,Gene Watson,Male
37820,General Nikolas Pherides,Male
31762,Geoff Carter,Male
101510,George ,Male
38650,George Bailey,Male
75223,George Caldwell ,Male
84675,George Dunlap ,Male
1315981,George Falconer,Male
192175,George Jetson,Male
264796,George Monroe ,Male
73692,George Roundy ,Male
66206,George S. Patton,Male
1340800,George Smiley,Male
1655442,George Valentin,Male
1602620,Georges,Male
1423995,"Gerald ""Stone"" Creeson",Male
2349144,Gerry ,Male
1001508,Gigi Haim,Female
1605783,Gil Pender,Male
486051,Girl ,Female
113862,Glenn Holland,Male
335245,Goldthwaite Higginson Dorr ,Male
101272,Gomez Addams,Male
699285,"Gordon ""Gordy"" Brewer ",Male
1067774,Grace Bennett ,Female
230600,Grace Stewart,Female
185014,Grady Tripp,Male
286106,Graham Hess,Male
60397,Grant,Male
2582496,Greg,Male
97179,Greg Evigan ,Male
1196141,Greg Heffley ,Male
3521126,Greg Sestero,Male
6499752,Grey Trace,Male
335119,Griet,Female
105151,Griffin Mill,Male
875034,Guido Contini,Male
118799,Guido Orefice,Male
1010382,Gunnar ,Male
44079,Guy Haines,Male
86617,Guy Hamilton,Male
360556,Guy Montag ,Male
2170299,Guy Trilby ,Male
191754,Gwen Cummings,Female
93822,H.I. McDunnough ,Male
1133985,Hal Jordan,Male
430634,Haley Graham,Unknown
8364368,Haley Keller ,Female
120783,Hallie Parker and Annie James,Female
73349,Hammond Maxwell ,Male
165929,Han Sing,Male
478134,Hank Deerfield,Male
285742,Hank Grotowski,Male
120324,Hank Mitchell ,Male
993842,Hanna,Female
91167,Hannah,Female
2114461,Hannah Rinaldi ,Female
429493,Hannibal Smith,Male
67185,Harold Chasen,Male
420223,Harold Crick,Male
366551,Harold Lee and Kumar Patel,Male
4648786,Harriet Tubman ,Female
100791,Harry ,Male
104804,Harry Bliss ,Male
98635,Harry Burns,Male
82509,Harry Canyon,Male
113690,Harry D'Amour,Male
329028,Harry Dunne ,Male
240510,Harry Faversham ,Male
5353,Harry Feversham,Male
180093,Harry Goldfarb,Male
295297,Harry Potter,Male
926084,Harry Potter,Male
330373,Harry Potter,Male
417741,Harry Potter,Male
373889,Harry Potter,Male
304141,Harry Potter,Male
241527,Harry Potter,Male
337741,Harry Sanborn,Male
120591,Harry Stamper ,Male
103759,Harvey Keitel ,Male
1013753,Harvey Milk,Male
305206,Harvey Pekar ,Male
73440,Haven Hamilton,Male
66026,Hawkeye Pierce,Male
424136,Hayley Stark,Female
103976,Hazari Pal ,Male
2582846,Hazel Grace Lancaster,Female
210688,Heath ,Male
185937,Heather Donahue,Female
1572315,Heather Miller,Female
106379,Hector ,Male
120102,Heinrich Harrer,Male
914863,Helen Brody ,Female
112722,Helen Hudson,Female
56241,Helen Keller,Female
103919,Helen Lyle,Female
246748,Helen Parker ,Female
411477,Hellboy ,Male
167190,Hellboy,Male
68451,Helmut Doork,Male
1294970,Henry Altmann,Male
452694,Henry DeTamble,Male
99685,Henry Hill,Male
83908,Hercule Poirot ,Male
114345,Hester Prynne,Female
892769,Hiccup,Male
1646971,Hiccup Horrendous Haddock III ,Male
89881,Hidetora Ichimonji,Male
1129445,Hilary Swank ,Female
32599,Hildy Johnson,Female
129167,Hogarth Hughes,Male
118842,Holden McNeil,Male
3799694,Holland March,Male
54698,Holly Golightly,Female
41959,Holly Martins,Male
124315,Homer Wells,Male
92106,Hot Rod ,Male
74958,Howard Beale,Male
338751,Howard Hughes,Male
1135985,Ian,Male
162661,Ichabod Crane,Male
1976009,Igor Strausman,Male
364045,Illeana Scott,Female
367882,Indiana Jones,Male
97576,Indiana Jones,Male
87469,Indiana Jones,Male
82971,Indiana Jones,Male
5962210,Ingrid Thorburn ,Female
159365,Inman,Male
18097,Inspector Burke,Male
34587,Irena Dubrovna,Female
457939,"Iris Simpkins, Amanda Woods",Female
1800241,Irving Rosenfeld,Male
7985692,Isabel Andersen ,Female
49513,Ishmael,Male
120834,Ishmael Chambers,Male
2692904,Ivan Locke ,Male
1616195,J. Edgar Hoover,Male
46359,J.J. Sefton ,Unknown
93058,J.T. 'Joker' Davis,Male
2991516,Jack ,Male
1278379,Jack ,Male
89469,Jack,Male
3170832,Jack,Male
1440728,Jack,Male
311113,Jack Aubrey,Male
97322,Jack Baker,Male
84809,Jack Brown ,Male
90728,Jack Burton,Male
67128,Jack Carter,Male
83511,Jack Cates,Male
114582,Jack Cody ,Male
8544498,Jack Cunningham,Male
120780,Jack Foley ,Male
1446192,Jack Frost,Male
1483013,Jack Harper,Male
118528,Jack Lemmon ,Male
101889,Jack Lucas,Male
450232,Jack Mosley ,Male
115710,Jack Nicholson ,Male
478304,Jack O'Brien,Male
99810,Jack Ryan,Male
411008,Jack Shephard,Male
107688,Jack Skellington,Male
449088,Jack Sparrow,Male
325980,Jack Sparrow,Male
366627,Jack Starks ,Male
81505,Jack Torrance,Male
111257,Jack Traven,Male
139414,Jack Wells ,Male
119396,Jackie Brown,Female
1967614,Jackie Burke,Male
120686,Jackie Harrison ,Unknown
839980,Jackie Moon ,Male
453562,Jackie Robinson,Male
42609,Jackie Robinson ,Male
1190080,Jackson Curtis,Male
1027718,"Jacob ""Jake"" Moore ",Male
1067583,Jacob Jankowski,Male
115645,Jacob Ryan ,Male
99871,Jacob Singer,Male
1619029,Jacqueline Kennedy,Female
95250,Jacques Mayol ,Male
4919484,Jake ,Male
191391,Jake ,Male
71315,Jake Gittes,Male
69049,Jake Hannaford ,Male
86370,Jake Hooker ,Male
139654,Jake Hoyt,Male
81398,Jake LaMotta,Male
409847,Jake Lonergan,Male
817228,Jake Sawyer ,Male
86984,Jake Scully,Male
499549,Jake Sully ,Male
97815,Jake Taylor,Male
